Key,Values
FWRD,"2010-07-23, 2010-10-21, 2013-04-19, 2013-07-19, 2014-02-11, 2014-07-23, 2014-10-24, 2015-02-11, 2015-04-22, 2015-07-22, 2015-10-22, 2016-02-10, 2016-04-22, 2016-07-22, 2016-10-21, 2017-02-10, 2017-04-27, 2017-07-30, 2017-10-27, 2018-02-08, 2018-04-26, 2018-07-28, 2018-10-25, 2019-02-08, 2019-04-28, 2019-07-26, 2019-10-25, 2020-02-07, 2020-05-02, 2021-04-30, 2021-07-31, 2021-10-29, 2022-04-29, 2022-07-30, 2022-10-28"
WERN,"2019-02-07, 2019-04-26, 2019-07-26, 2019-10-25, 2020-02-06, 2020-04-29, 2021-02-04, 2021-04-28, 2021-10-28, 2022-02-03, 2022-05-03, 2022-11-02"
TSP,"2021-05-10, 2021-11-03, 2022-02-09, 2022-05-03, 2022-08-02"
SBLK,"2008-11-25, 2009-05-28, 2009-08-13, 2009-11-24, 2010-02-24, 2010-05-20, 2010-08-11, 2010-11-18, 2011-02-23, 2011-05-13, 2011-08-10, 2011-11-09, 2012-02-16, 2012-05-31, 2012-08-29, 2012-11-30, 2013-03-19, 2013-05-28, 2013-08-27, 2013-11-26, 2014-03-06, 2014-05-29, 2014-08-20, 2014-12-02, 2015-03-20, 2015-07-01, 2015-08-31, 2015-11-18, 2016-03-01, 2016-11-22, 2017-02-23, 2017-05-25, 2017-08-11, 2017-11-21, 2018-02-28, 2018-06-12, 2018-08-08, 2018-11-22, 2019-02-12, 2019-05-23, 2019-08-08, 2019-11-21, 2020-02-20, 2020-05-27, 2020-08-07, 2021-05-20, 2021-08-06, 2021-11-17, 2022-02-17"
XPO,"2012-08-10, 2012-11-06, 2013-03-01, 2013-05-08, 2013-08-01, 2013-11-05, 2014-02-25, 2014-05-02, 2014-07-30, 2014-11-06, 2015-02-19, 2015-05-05, 2015-08-06, 2015-11-05, 2016-02-25, 2016-05-04, 2016-08-04, 2016-11-03, 2017-02-22, 2017-05-04, 2017-08-04, 2017-11-02, 2018-02-08, 2018-05-03, 2018-08-02, 2018-11-01, 2019-02-15, 2019-05-02, 2019-08-02, 2019-10-29, 2020-02-11, 2020-05-05, 2021-05-04"
LYFT,"2019-05-07, 2019-08-07, 2019-10-30, 2020-02-11, 2020-05-06, 2020-08-12, 2020-11-10, 2021-02-09, 2021-05-04, 2021-08-03, 2021-11-02, 2022-02-08, 2022-05-03, 2022-08-04, 2022-11-07"
SNCY,"2021-05-07, 2021-07-30, 2021-11-02, 2022-05-07, 2022-08-12, 2022-11-01"
ULH,"2016-10-30, 2017-02-24, 2017-04-28, 2017-07-29, 2017-10-27, 2018-02-23, 2018-07-28, 2019-02-22, 2019-04-26, 2019-07-26, 2019-10-25, 2020-02-07, 2020-05-01, 2021-05-01, 2021-07-31"
SKYW,"2010-05-08, 2013-02-14, 2013-05-08, 2013-08-07, 2013-11-06, 2014-02-14, 2014-05-09, 2014-08-07, 2014-10-29, 2015-02-12, 2015-05-01, 2015-07-30, 2015-10-27, 2016-02-05, 2016-04-29, 2016-07-29, 2016-10-28, 2017-02-03, 2017-04-27, 2017-07-27, 2017-10-26, 2018-02-02, 2018-04-27, 2018-07-27, 2018-10-31, 2019-02-01, 2019-04-26, 2019-08-01, 2019-10-31, 2020-01-31, 2020-05-10, 2021-02-05, 2021-05-01, 2021-07-29, 2021-10-28, 2022-02-03, 2022-04-28, 2022-07-28, 2022-10-27"
JOBY,"2021-11-11, 2022-03-24, 2022-05-12, 2022-08-11, 2022-11-02"
R,"2007-10-25, 2008-02-01, 2008-04-23, 2008-07-23, 2008-10-22, 2009-02-04, 2009-04-22, 2009-08-05, 2009-10-22, 2010-04-21, 2010-10-22, 2011-02-04, 2011-04-26, 2011-07-28, 2011-10-25, 2012-02-02, 2012-04-24, 2012-07-24, 2012-10-23, 2013-01-31, 2013-04-23, 2013-07-23, 2013-10-22, 2014-02-04, 2014-04-23, 2014-07-23, 2014-10-22, 2015-02-03, 2015-04-22, 2015-07-23, 2015-10-22, 2016-02-02, 2016-04-26, 2016-07-27, 2016-10-25, 2017-02-02, 2017-04-26, 2017-07-26, 2017-10-24, 2018-02-16, 2018-04-24, 2018-07-25, 2018-10-26, 2019-02-14, 2019-07-30, 2019-10-29, 2020-02-13, 2020-04-29, 2020-07-29, 2021-02-11, 2021-07-28, 2022-07-27"
GOGL,"2016-11-22, 2017-02-28, 2017-05-24, 2017-08-18, 2017-11-21, 2018-02-20, 2018-05-30, 2018-08-17, 2018-11-20, 2019-02-19, 2019-05-22, 2019-08-15, 2019-11-21, 2020-02-18, 2020-05-27, 2020-08-18"
ALK,"2008-01-24, 2008-04-28, 2008-07-28, 2012-07-26, 2012-10-25, 2013-01-25, 2013-04-26, 2013-07-26, 2013-10-24, 2014-01-23, 2014-04-25, 2014-07-24, 2014-10-23, 2015-01-22, 2015-04-24, 2015-07-23, 2015-10-23, 2016-01-21, 2016-04-21, 2016-07-22, 2016-10-20, 2017-02-08, 2017-04-26, 2017-07-26, 2017-10-25, 2018-01-25, 2018-04-23, 2018-07-26, 2018-10-25, 2019-01-25, 2019-04-26, 2019-07-26, 2019-10-25, 2020-01-29, 2020-05-05, 2020-07-23, 2020-10-22, 2021-01-26, 2021-04-22, 2021-07-22, 2021-10-21"
KEX,"2009-01-29, 2009-05-01, 2009-07-30, 2011-07-28, 2011-10-27, 2012-02-03, 2012-04-26, 2012-07-26, 2012-10-27, 2013-01-31, 2013-04-25, 2013-07-25, 2013-10-28, 2014-01-30, 2014-05-01, 2014-11-02, 2015-10-29, 2016-01-28, 2016-05-01, 2016-07-28, 2016-10-30, 2017-02-02, 2017-04-29, 2017-07-29, 2017-11-02, 2018-02-01, 2018-04-26, 2018-07-26, 2018-10-26, 2019-01-31, 2019-05-04, 2019-07-26, 2019-10-25, 2020-01-30, 2020-05-05, 2021-04-30, 2021-07-31"
ALGT,"2010-01-26, 2013-01-31, 2013-04-25, 2013-07-23, 2013-10-24, 2014-01-30, 2014-04-24, 2014-07-24, 2014-10-23, 2015-01-29, 2015-04-23, 2015-07-30, 2015-10-22, 2016-01-28, 2016-04-28, 2016-07-30, 2016-10-27, 2017-02-01, 2017-04-26, 2017-07-27, 2017-10-26, 2018-02-01, 2018-04-26, 2018-07-26, 2018-10-25, 2019-01-31, 2019-04-25, 2019-07-25, 2019-10-25, 2020-01-30, 2020-05-13, 2021-02-03, 2021-05-04, 2021-07-28, 2021-10-27, 2022-02-02, 2022-05-04, 2022-08-03, 2022-11-02"
CHRW,"2007-10-24, 2008-01-31, 2008-04-23, 2008-07-23, 2008-10-22, 2009-01-28, 2009-04-22, 2009-07-22, 2009-10-21, 2010-02-03, 2010-04-21, 2010-07-28, 2010-10-27, 2011-02-02, 2011-04-27, 2011-07-27, 2011-10-26, 2012-02-01, 2012-04-25, 2012-07-25, 2012-10-24, 2013-02-06, 2013-05-08, 2013-08-07, 2013-11-06, 2014-02-05, 2014-04-30, 2014-07-30, 2014-10-30, 2015-02-04, 2015-04-28, 2015-07-29, 2015-10-28, 2016-02-03, 2016-04-27, 2016-07-27, 2016-10-26, 2017-02-01, 2017-04-26, 2017-07-20, 2017-11-01, 2018-01-31, 2018-05-02, 2018-08-01, 2018-10-31, 2019-01-30, 2019-05-01, 2019-07-31, 2019-10-30, 2020-01-29, 2020-07-29, 2021-04-27, 2022-04-27, 2022-07-27"
LSTR,"2008-02-01, 2008-04-17, 2008-07-17, 2008-10-16, 2009-01-29, 2009-04-17, 2009-07-16, 2010-04-15, 2011-02-02, 2011-04-22, 2011-07-21, 2011-10-24, 2012-02-02, 2012-04-26, 2012-07-26, 2012-10-26, 2013-02-01, 2013-04-25, 2013-07-25, 2013-10-25, 2014-01-31, 2014-04-24, 2014-07-24, 2014-10-24, 2015-01-29, 2015-04-24, 2016-01-29, 2016-04-21, 2016-07-21, 2016-10-20, 2017-02-02, 2017-04-29, 2017-07-27, 2017-10-28, 2018-02-01, 2018-04-26, 2018-07-26, 2018-10-25, 2019-01-31, 2019-04-26, 2019-07-25, 2019-10-25, 2020-01-30, 2020-04-23, 2020-07-23, 2020-10-22"
ZIM,"2022-03-09, 2022-11-15"
NETI,2022-08-03
KNX,"2008-01-30, 2008-04-27, 2008-07-25, 2008-10-24, 2009-01-29, 2013-01-31, 2013-04-25, 2013-07-24, 2013-10-24, 2014-01-30, 2014-04-24, 2014-07-24, 2014-10-23, 2015-01-29, 2022-04-20, 2022-07-20, 2022-10-19"
UP,"2021-08-13, 2021-11-10, 2022-05-12, 2022-08-11, 2022-11-09"
GSL,"2012-08-13, 2012-11-14, 2013-03-11, 2013-05-09, 2013-08-14, 2013-11-14, 2014-02-12, 2014-04-30, 2014-07-28, 2014-10-31, 2015-03-03, 2015-04-30, 2015-08-10, 2015-11-07, 2016-03-01, 2016-04-30, 2016-07-30, 2016-10-30, 2017-03-07, 2017-05-02, 2017-07-31, 2017-11-04, 2018-03-05, 2018-07-30, 2019-03-05, 2019-05-07, 2019-08-04, 2019-11-07, 2020-03-05, 2020-05-12, 2021-08-05, 2022-08-04"
CMRE,"2013-04-25, 2013-07-25, 2013-10-24, 2014-04-30, 2014-07-24, 2014-11-03, 2015-02-05, 2015-04-29, 2015-07-22, 2015-10-22, 2016-01-29, 2016-04-21, 2016-07-31, 2016-10-25, 2017-01-27, 2017-04-30, 2017-07-26, 2017-10-25, 2018-01-24, 2018-05-02, 2018-07-25, 2018-10-25, 2019-01-24, 2019-04-23, 2019-07-25, 2020-01-29, 2020-04-29"
HA,"2009-07-28, 2012-10-24, 2013-01-29, 2013-04-24, 2013-07-24, 2013-10-23, 2014-01-29, 2014-04-23, 2014-07-23, 2014-10-22, 2015-01-30, 2015-04-24, 2015-07-29, 2015-10-20, 2016-01-27, 2016-04-22, 2016-07-22, 2016-10-19, 2017-01-25, 2017-04-21, 2017-07-26, 2017-10-20, 2018-01-30, 2018-04-25, 2018-07-25, 2018-10-24, 2019-01-30, 2019-04-24, 2019-07-31, 2019-10-23, 2020-01-31, 2020-05-06, 2021-01-26, 2021-04-27, 2021-10-26, 2022-01-25, 2022-04-26, 2022-07-26, 2022-10-25"
SNDR,"2017-05-12, 2017-08-01, 2017-11-07, 2018-02-02, 2018-04-26, 2018-08-04, 2018-11-04, 2019-01-31, 2019-11-02, 2020-05-02, 2020-08-02, 2020-10-31, 2021-04-30, 2021-07-31, 2021-10-28, 2022-02-03, 2022-07-28, 2022-10-27"
YMM,2022-03-01
HUBG,"2009-10-22, 2010-01-29, 2013-04-19, 2013-07-19, 2013-10-18, 2014-01-29, 2014-04-18, 2014-07-18, 2014-10-24, 2015-02-06, 2015-04-24, 2015-07-22, 2015-10-29, 2016-02-04, 2016-04-27, 2016-07-27, 2016-10-27, 2017-02-03, 2017-04-27, 2017-07-27, 2017-10-27, 2018-02-09, 2018-04-27, 2018-08-02, 2018-10-26, 2019-02-08, 2019-05-01, 2019-07-31, 2019-10-31, 2020-02-07, 2020-08-02, 2021-10-28, 2022-02-08, 2022-08-03, 2022-10-27"
EGLE,"2013-08-08, 2013-11-14, 2016-08-09, 2016-11-09, 2017-03-31, 2017-05-14, 2017-08-08, 2017-11-03, 2018-03-06, 2018-05-10, 2018-08-08, 2018-11-07, 2019-03-06, 2019-05-09, 2019-07-30, 2019-11-07, 2020-03-05, 2020-08-07"
DAC,"2012-11-06, 2013-02-12, 2013-04-30, 2013-07-31, 2013-10-30, 2014-02-11, 2014-05-06, 2014-07-29, 2014-11-02, 2015-02-10, 2015-04-28, 2015-08-05, 2015-11-08, 2016-02-17, 2016-05-05, 2016-08-02, 2016-12-16, 2017-02-22, 2017-05-31, 2017-08-01, 2017-10-31, 2018-02-13, 2018-06-27, 2018-09-25, 2018-11-15, 2019-02-20, 2019-05-14, 2019-08-10, 2020-02-11"
SAVE,"2012-07-24, 2012-10-31, 2013-02-19, 2013-04-30, 2013-07-24, 2013-10-30, 2014-02-19, 2014-04-29, 2014-07-29, 2014-10-28, 2015-02-10, 2015-04-29, 2015-07-24, 2015-10-27, 2016-02-09, 2016-04-26, 2016-07-29, 2016-10-25, 2017-02-07, 2017-04-28, 2017-07-27, 2017-10-26, 2018-02-07, 2018-04-27, 2018-07-26, 2018-10-25, 2019-02-06, 2019-04-25, 2019-10-24, 2020-07-23, 2020-10-29, 2021-07-29"
UHAL,"2009-08-08, 2010-06-10, 2013-02-07, 2013-06-06, 2013-08-08, 2013-11-07, 2014-02-06, 2014-05-29, 2014-08-07, 2014-11-06, 2015-02-05, 2015-05-28, 2015-08-11, 2015-11-08, 2016-02-04, 2016-05-26, 2016-08-07, 2016-11-10, 2017-02-09, 2017-05-25, 2017-08-10, 2017-11-12, 2018-02-08, 2018-05-31, 2018-08-10, 2018-11-11, 2019-02-09, 2019-05-30, 2019-08-08, 2019-11-07, 2020-02-06, 2020-08-08"
MATX,"2012-08-03, 2012-11-08, 2013-02-08, 2013-05-06, 2013-08-08, 2013-11-07, 2014-02-26, 2014-05-07, 2014-08-03, 2014-11-10, 2015-02-25, 2015-05-05, 2015-08-05, 2015-11-05, 2016-02-24, 2016-05-05, 2016-08-03, 2016-11-08, 2017-02-22, 2017-05-04, 2017-08-01, 2017-11-04, 2018-02-21, 2018-05-02, 2018-08-01, 2018-11-06, 2019-02-23, 2019-05-12, 2019-08-10, 2019-11-09, 2020-02-26, 2020-05-08, 2021-02-23, 2021-04-27, 2021-08-01, 2021-11-03, 2022-02-17, 2022-05-03, 2022-08-01, 2022-11-02"
JBLU,"2007-10-23, 2008-01-31, 2008-04-22, 2008-07-22, 2008-10-23, 2009-01-29, 2009-04-23, 2009-07-24, 2009-10-22, 2010-01-28, 2010-04-28, 2010-07-22, 2010-10-21, 2011-01-27, 2011-04-22, 2011-07-26, 2011-10-26, 2012-01-26, 2012-04-27, 2012-07-25, 2012-10-25, 2013-01-29, 2013-04-25, 2013-07-30, 2013-10-29, 2014-01-29, 2014-04-25, 2014-07-24, 2014-10-23, 2015-01-29, 2015-04-28, 2015-07-28, 2015-10-28, 2016-01-28, 2016-04-26, 2016-07-27, 2016-10-25, 2017-01-26, 2017-04-26, 2017-07-25, 2017-10-24, 2018-01-25, 2018-04-24, 2018-07-24, 2018-10-23, 2019-01-24, 2019-04-23, 2019-10-22, 2020-01-23, 2020-05-07, 2020-07-28, 2021-01-28, 2021-04-27, 2022-04-26"
ATSG,"2010-04-02, 2012-11-09, 2013-03-01, 2013-05-09, 2013-08-09, 2013-11-07, 2014-03-06, 2014-05-07, 2014-08-06, 2014-11-06, 2015-03-07, 2015-05-06, 2015-08-06, 2015-11-06, 2016-03-10, 2016-05-11, 2016-08-09, 2016-11-04, 2017-03-07, 2017-05-07, 2017-08-08, 2017-11-07, 2018-02-28, 2018-05-09, 2018-08-07, 2018-11-02, 2019-02-28, 2019-05-08, 2019-08-06, 2019-11-12, 2020-03-03, 2020-05-10, 2021-05-09, 2021-11-05, 2022-08-05"
DSX,"2008-08-28, 2009-02-19, 2009-05-06, 2009-08-06, 2009-11-10, 2010-02-23, 2010-05-26, 2010-08-06, 2010-11-15, 2011-02-22, 2011-05-06, 2011-08-04, 2011-11-23, 2012-02-28, 2012-05-03, 2012-08-04, 2012-11-20, 2013-03-14, 2013-05-23, 2013-07-30, 2013-11-19, 2014-02-18, 2014-05-14, 2014-07-29, 2015-03-04, 2015-08-01, 2015-11-12, 2016-03-02, 2016-05-19, 2016-07-30, 2016-11-29, 2017-02-14, 2017-05-23, 2017-07-26, 2017-11-21, 2018-02-23, 2018-05-12, 2018-07-26, 2018-11-26, 2019-02-26, 2019-05-09, 2019-07-30, 2019-12-02, 2020-02-21, 2020-05-14, 2020-07-27, 2021-05-21, 2022-07-28"
CAAP,"2018-08-22, 2018-11-27, 2019-04-11, 2019-05-21, 2019-08-23, 2020-05-22, 2020-08-21"
CVLG,"2021-01-26, 2021-04-27, 2021-10-21, 2022-04-29"
CDE,"2007-08-08, 2008-03-03, 2008-05-13, 2008-08-08, 2008-10-31, 2009-02-27, 2009-05-11, 2009-08-06, 2009-11-06, 2010-02-26, 2010-05-10, 2010-08-11, 2010-11-04, 2011-02-28, 2011-05-09, 2011-08-08, 2011-11-07, 2012-02-23, 2012-05-07, 2012-08-07, 2012-11-06, 2013-02-21, 2013-05-10, 2013-08-08, 2013-11-07, 2014-02-20, 2014-05-10, 2014-08-07, 2014-11-06, 2015-02-19, 2015-05-05, 2015-08-05, 2015-11-03, 2016-02-11, 2016-04-30, 2016-07-30, 2016-10-27, 2017-02-09, 2017-04-27, 2017-07-30, 2017-10-26, 2018-02-08, 2018-04-26, 2018-07-26, 2018-11-01, 2019-02-21, 2019-05-02, 2019-08-08, 2019-11-05, 2020-02-20, 2020-04-24, 2021-04-29, 2021-07-29, 2021-10-28"
AMR,"2021-05-10, 2021-11-05, 2022-05-07, 2022-08-08"
CMC,"2008-10-30, 2008-12-17, 2009-03-24, 2009-06-23, 2010-03-24, 2010-06-22, 2010-10-29, 2010-12-22, 2011-03-22, 2011-06-21, 2011-10-28, 2012-01-06, 2012-03-28, 2012-06-27, 2012-10-24, 2013-01-07, 2013-03-28, 2013-06-27, 2013-10-23, 2014-01-07, 2014-03-27, 2014-06-27, 2014-10-29, 2015-01-06, 2015-03-26, 2015-06-25, 2015-10-28, 2016-01-05, 2016-03-24, 2016-06-23, 2016-10-27, 2017-01-09, 2017-03-23, 2017-06-22, 2017-10-27, 2018-01-03, 2018-03-22, 2018-06-21, 2018-10-25, 2019-01-07, 2019-03-21, 2019-06-20, 2019-10-23, 2020-01-06, 2020-03-19, 2020-06-18, 2020-10-15, 2021-01-11"
PCT,"2021-05-17, 2021-08-12, 2022-03-09, 2022-05-12"
LXU,"2007-11-05, 2008-04-01, 2008-05-23, 2012-08-09, 2012-11-07, 2013-03-01, 2013-05-07, 2013-08-09, 2013-11-07, 2014-02-27, 2014-05-10, 2014-08-08, 2014-11-07, 2015-03-02, 2015-05-08, 2015-08-08, 2015-11-06, 2016-03-01, 2016-05-05, 2016-08-09, 2016-11-04, 2017-02-28, 2017-04-25, 2017-07-26, 2017-10-31, 2018-02-27, 2018-04-26, 2018-07-26, 2018-10-25, 2019-02-28, 2020-02-25, 2020-08-01, 2021-05-01, 2021-07-31, 2022-05-04"
DRD,"2013-08-23, 2014-02-11, 2014-09-02, 2019-09-03, 2022-02-15"
CMP,"2008-07-31, 2008-10-29, 2009-02-10, 2011-07-29, 2011-10-27, 2012-02-08, 2012-04-27, 2012-07-30, 2012-10-29, 2013-02-06, 2013-04-29, 2013-07-30, 2013-10-29, 2014-02-11, 2014-04-29, 2014-07-28, 2014-10-28, 2015-02-10, 2015-04-28, 2015-07-28, 2015-10-28, 2016-02-09, 2016-04-26, 2016-07-26, 2016-10-25, 2017-02-09, 2017-05-08, 2017-08-09, 2017-10-31, 2018-02-14, 2018-05-02, 2018-08-07, 2018-11-01, 2019-02-12, 2019-05-01, 2019-11-06, 2020-08-06, 2021-02-17, 2021-05-05, 2021-08-16, 2022-05-06"
CBT,"2008-01-26, 2008-05-02, 2011-07-28, 2011-10-26, 2012-02-03, 2012-05-03, 2012-08-01, 2012-10-31, 2013-01-31, 2013-05-01, 2013-08-01, 2013-10-30, 2014-01-30, 2014-05-03, 2014-07-31, 2014-10-29, 2015-01-29, 2015-05-02, 2015-08-04, 2015-11-03, 2016-02-02, 2016-05-03, 2016-07-31, 2016-11-01, 2017-02-02, 2017-05-03, 2017-08-03, 2017-11-01, 2018-02-07, 2018-05-12, 2018-08-07, 2018-11-07, 2019-02-05, 2019-05-08, 2019-08-06, 2019-11-06, 2020-02-05, 2020-05-12, 2020-08-07, 2021-05-04"
EMN,"2007-10-28, 2008-01-25, 2008-04-25, 2008-07-25, 2008-10-27, 2009-01-30, 2009-04-24, 2010-01-29, 2010-04-23, 2011-02-01, 2011-04-29, 2011-07-29, 2011-10-28, 2012-01-27, 2012-04-27, 2012-07-31, 2012-10-26, 2013-02-01, 2013-04-26, 2013-07-30, 2013-10-25, 2014-01-31, 2014-04-25, 2014-07-29, 2014-10-31, 2015-01-30, 2015-05-01, 2015-07-28, 2015-10-30, 2016-01-30, 2016-04-29, 2016-07-29, 2016-10-29, 2017-01-27, 2017-04-28, 2017-07-28, 2017-10-27, 2018-02-02, 2018-04-27, 2018-07-27, 2018-10-26, 2019-02-01, 2019-04-26, 2019-07-26, 2019-10-25, 2020-01-31, 2020-08-04"
AXTA,"2015-03-11, 2015-05-06, 2015-08-04, 2015-10-28, 2016-02-10, 2016-04-28, 2016-07-26, 2016-10-28, 2017-02-08, 2017-04-26, 2017-08-06, 2017-10-26, 2018-02-06, 2018-04-25, 2018-07-26, 2018-10-26, 2019-01-30, 2019-04-24, 2019-07-25, 2019-10-24, 2020-01-30, 2020-05-06, 2020-07-29, 2020-10-22"
BERY,"2012-11-27, 2013-02-01, 2013-05-03, 2013-08-02, 2013-11-22, 2014-01-31, 2014-05-02, 2014-08-01, 2014-11-21, 2015-01-30, 2015-05-01, 2015-07-31, 2015-11-13, 2016-02-10, 2016-05-10, 2016-08-09, 2016-11-29, 2017-02-03, 2017-05-03, 2017-08-03, 2017-11-16, 2018-02-07, 2018-05-03, 2018-08-03, 2018-11-15, 2019-02-01, 2019-05-02, 2019-07-31, 2019-11-21, 2020-01-31, 2020-05-01, 2020-07-31, 2021-02-05, 2021-05-04, 2021-11-18, 2022-02-03, 2022-08-03, 2022-11-15"
TROX,"2008-05-29, 2008-08-29, 2013-02-21, 2013-05-09, 2013-08-08, 2013-11-07, 2014-02-28, 2014-05-12, 2014-08-07, 2014-11-06, 2015-02-28, 2015-05-07, 2015-08-05, 2015-11-05, 2016-02-24, 2016-05-05, 2016-08-04, 2016-11-03, 2017-02-22, 2017-05-04, 2017-08-09, 2017-11-09, 2018-03-01, 2018-05-14, 2018-08-02, 2018-11-07, 2019-02-28, 2019-05-10, 2019-08-07, 2019-11-08, 2020-05-08, 2020-08-01, 2021-04-29"
NEXA,"2019-08-04, 2022-04-29"
HAYN,"2008-11-25, 2009-02-10, 2009-11-24, 2013-02-01, 2013-08-09, 2013-11-22, 2014-08-08, 2015-02-06, 2015-08-09, 2015-11-20, 2016-02-06, 2016-05-11, 2016-08-07, 2017-02-03, 2017-05-06, 2017-11-17, 2018-02-02, 2018-05-06, 2018-08-05, 2018-11-16, 2019-02-01, 2019-05-05, 2019-11-15, 2020-05-03, 2020-08-02, 2020-11-24, 2021-05-01, 2021-07-31"
BIOX,"2020-09-10, 2021-02-11, 2021-05-14, 2022-11-12"
SMG,"2008-10-31, 2010-02-03, 2011-08-08, 2011-11-08, 2012-02-07, 2012-05-08, 2012-08-10, 2012-11-08, 2013-02-06, 2013-05-07, 2013-08-06, 2013-11-07, 2014-02-06, 2014-05-06, 2014-08-05, 2014-11-05, 2015-02-04, 2015-05-10, 2015-08-04, 2015-11-03, 2016-02-02, 2016-05-03, 2016-08-07, 2016-11-03, 2017-01-31, 2017-05-03, 2017-08-01, 2017-11-07, 2018-01-30, 2018-05-01, 2018-08-01, 2018-11-07, 2019-01-30, 2019-05-01, 2019-07-31, 2019-11-06, 2020-01-29, 2021-11-03, 2022-05-03, 2022-08-03"
